	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
pNA_s_024um_00149_00089-1	8.169947e-21	0.04964696	0.082508385	0.5050146	0.28608453	0.05070607	7.194477e-25	9.481974e-12	8.8862615e-12	2.6819144e-11	0.0037797084	4.8359183e-09	0.043672904	0.00015984297	2.4488968e-20
pNA_s_024um_00074_00075-1	7.653597e-05	0.1498599	0.22348893	0.2704712	0.18221274	0.034273073	0.022325853	4.54564e-09	0.0066824425	0.01790005	0.20023043	0.044867635	3.4832993e-08	4.038942e-09	7.2209e-05
pNA_s_024um_00173_00269-1	0.1079665	0.0074377083	0.5481914	0.10175131	0.10211423	0.06791972	0.018960595	1.5301985e-08	3.00279e-13	0.033540748	0.0019371102	0.011201612	0.0019810798	0.0019954236	0.023665315
pNA_s_024um_00111_00098-1	9.333874e-06	1.1837471e-06	0.58793455	0.029226827	0.0021127455	7.655652e-07	5.646359e-12	0.07363051	3.7641978e-14	0.002468958	0.17688394	0.0037189948	0.05990001	2.6848502e-07	1.5737431e-09
pNA_s_024um_00194_00275-1	0.6495178	4.4312633e-06	0.17575923	0.0037012112	0.105044596	2.4974659e-06	2.7156841e-11	0.007018165	2.8944978e-08	0.16502671	0.011467283	7.374061e-08	1.7897368e-07	0.0062974864	0.0024688593
pNA_s_024um_00005_00169-1	0.0	0.69381225	9.130151e-25	8.094064e-13	7.034437e-22	2e-44	0.1289009	0.2710043	4.3173277e-33	2.0343e-41	1.1207596e-25	1.9225338e-22	1.8181288e-36	0.12951888	1.1275851e-18
pNA_s_024um_00140_00104-1	5.187843e-22	0.05899877	6.1053083e-06	0.51821834	0.53222585	3.8893917e-14	3.7557868e-17	4.1560255e-11	1.12729065e-14	1.6780287e-19	4.3693935e-06	0.038884178	2.4373087e-17	5.3841296e-07	3.30994e-23
pNA_s_024um_00155_00136-1	0.0048617683	3.7221496e-06	0.22305904	0.68057114	0.016643453	0.110128805	2.6595858e-06	0.062250495	6.9227374e-17	0.004018508	0.023877397	0.024480326	0.037708744	0.06962571	7.243583e-12
pNA_s_024um_00138_00151-1	0.00025269363	2.1336315e-05	0.50671417	0.035403598	0.021480825	0.15698552	1.4902177e-11	0.040227186	0.049931776	1.3933818e-11	0.0016754775	0.0613655	3.577826e-05	0.047662426	1.2904047e-09
pNA_s_024um_00123_00031-1	0.007032441	0.0046307	0.14373693	0.55077165	2.6063967e-08	0.14539772	3.5465937e-09	0.051659472	7.4405614e-11	1.5953987e-07	2.6842632e-12	0.113202564	0.006446845	2.0304435e-12	1.494156e-08
pNA_s_024um_00004_00272-1	1.7824582e-13	0.19174264	0.3643616	0.24008584	0.20901547	6.7395976e-12	0.039367642	0.0019525611	9.7042925e-09	4.786822e-14	0.008117655	0.021732388	1.0881442e-05	9.059405e-09	1.8842354e-07
pNA_s_024um_00090_00045-1	0.09616418	3.5214605e-05	0.15793338	0.1405694	0.17782652	0.06485154	6.0937626e-05	0.0013845752	0.018419005	0.002845961	0.09299944	0.041238967	0.053457845	0.077203624	2.7868719e-08
pNA_s_024um_00060_00204-1	0.17222176	0.23445238	4.2337854e-14	2.2011549e-15	3.6179946e-16	4.9356183e-17	3.0013286e-29	0.17078689	4.603479e-22	1.8167022e-25	3.2976475e-15	3.8628646e-17	1.8550603e-09	0.5959095	1.3432327e-09
pNA_s_024um_00221_00039-1	0.17547347	4.8402633e-08	0.18713577	0.06990313	0.118131824	0.19582507	0.070972025	0.0014711024	0.059434425	0.015912296	0.07156107	0.0034084427	0.0028522012	0.050349843	0.0008510999
pNA_s_024um_00053_00163-1	6.4352806e-10	0.33901605	3.9132215e-06	0.14927343	0.27766111	4.766849e-11	4.7970894e-17	0.0146508645	2.3283402e-17	3.057665e-05	0.044387523	0.0011694705	0.025555527	2.5297226e-07	3.546447e-10
pNA_s_024um_00245_00131-1	0.4756407	0.04419436	9.628163e-24	0.14784165	8.93234e-11	0.16680811	0.059020914	2.899587e-05	1.4075094e-08	0.11481223	3.5138901e-15	1.3309795e-10	3.2538618e-09	0.010265037	8.031554e-19
pNA_s_024um_00135_00092-1	0.003984372	6.6590695e-13	0.23329562	0.37754935	3.2674493e-06	4.3017043e-09	0.035863906	4.148107e-14	2.0815053e-15	0.032795753	0.0023908918	2.0325514e-11	0.19960788	0.00013748623	0.06419669
pNA_s_024um_00012_00191-1	4.668407e-10	0.74988055	0.03947673	2.0399058e-07	0.012267452	0.17947605	0.017871479	2.6971295e-08	1.0035415e-12	1.8558102e-14	4.060308e-06	0.09218033	7.590198e-08	0.00074545515	1.06141844e-16
pNA_s_024um_00156_00263-1	0.018575164	0.0017574722	0.53546757	0.028366959	0.23954554	0.049634077	0.012283036	0.009415661	0.015293772	0.019730756	0.03870856	0.028323801	0.00021931635	9.090087e-05	4.1249746e-07
pNA_s_024um_00222_00077-1	0.026600884	0.016591616	0.3092859	0.11484595	0.2252659	0.14582108	0.06839418	0.032756973	6.3412303e-10	0.020474426	0.05304269	6.5759923e-06	0.00010257008	0.022387894	0.00025136143
pNA_s_024um_00268_00053-1	0.77059376	4.5658967e-16	3.4243705e-05	0.001024466	5.673127e-06	5.5396705e-11	8.088932e-18	5.8117486e-22	7.350226e-16	5.231278e-09	0.02604982	9.820078e-05	0.08978523	0.034173008	8.708684e-13
pNA_s_024um_00114_00148-1	8.60675e-12	2.8368806e-05	0.56396174	0.00024723203	3.833739e-05	0.19007637	0.010367709	2.4757e-13	3.017518e-12	9.338436e-11	0.24661884	0.00022735269	0.048644677	0.00017153767	4.329018e-12
pNA_s_024um_00143_00125-1	0.08656918	4.881908e-05	0.11629734	0.21949667	0.00041557415	0.32512665	0.038951196	3.0099206e-23	0.10281126	4.355272e-07	0.20146398	2.3310351e-06	1.0151862e-06	0.00012923367	0.0001147235
pNA_s_024um_00178_00072-1	0.025271067	0.22597559	0.27668604	0.13091184	0.111945234	0.056205254	0.032881692	1.4910594e-16	5.676578e-12	0.039310336	0.17225133	0.060503747	0.009354842	5.9280414e-10	2.893399e-09
pNA_s_024um_00118_00170-1	0.07355251	0.66632575	0.09987066	0.09462727	0.14583439	3.730394e-15	0.054903775	6.492425e-15	6.3028077e-13	4.3431827e-13	0.17789333	1.4366925e-06	1.8777176e-19	0.0011185673	1.5422151e-13
pNA_s_024um_00118_00245-1	0.024743857	0.18401058	0.31121126	0.11196056	0.07444703	0.01711534	6.998415e-14	0.015900679	0.05941282	0.025098894	0.00027741096	0.0596106	0.0007249243	1.1375137e-09	0.00071176834
pNA_s_024um_00247_00091-1	0.21082827	0.018618185	0.10570692	0.15444687	0.23968166	0.1767564	0.021450097	6.0986e-08	0.0007164683	0.054878302	0.12441735	0.00019638876	0.026035618	0.007674253	7.316406e-15
pNA_s_024um_00120_00135-1	0.02697047	0.0177487	0.14657211	0.029905895	0.3406893	0.013123653	1.0986675e-07	0.051209312	9.329824e-14	5.0864744e-09	0.15662923	0.05562026	0.05385918	1.5518133e-10	0.027616762
pNA_s_024um_00077_00184-1	1.9165725e-37	9.265616e-12	1.6166097e-06	1.1981338e-08	0.56633186	6.1409847e-32	1.3194946e-22	0.13091907	3.0816097e-19	2.630386e-22	0.002630914	2.1235253e-05	4.7818872e-15	1.1117563e-12	1.4243218e-15
pNA_s_024um_00205_00234-1	0.45487025	0.0052380334	0.0064884503	0.18280612	0.0066076224	0.00016208454	4.254939e-15	2.8242429e-08	8.487652e-12	1.8966113e-09	2.4315032e-05	0.00017308809	0.19040214	1.8061224e-14	3.513567e-13
